index,time,sender,receiver,amount
0,1970-01-01 04:00:00,bank,bank,999999999999
1,2022-01-19 19:10:00,bank,ddjerqq,50
2,2022-01-19 19:13:50,bank,ddjerqq,50
3,2022-01-19 19:14:37,bank,ddjerqq,50
4,2022-01-19 19:15:11,ddjerqq,loren,20
5,2022-01-19 19:17:38,ddjerqq,Eniuu ☾⁵☽,30
6,2022-01-19 19:17:54,bank,ddjerqq,50
7,2022-01-19 19:18:03,ddjerqq,SomeoneYouMayLike,20
8,2022-01-19 19:20:32,bank,ddjerqq,50
9,2022-01-19 19:20:45,ddjerqq,AzerimA,20
10,2022-01-19 19:25:39,ddjerqq,Eniuu ☾⁵☽,40
11,2022-01-19 19:26:01,ddjerqq,loren,50
12,2022-01-19 19:27:26,ddjerqq,Kiryu Kazuma 桐生 一馬,40
13,2022-01-19 19:27:57,bank,ddjerqq,50
14,2022-01-19 19:28:03,ddjerqq,SomeoneYouMayLike,30
15,2022-01-19 19:28:48,SomeoneYouMayLike,ddjerqq,10
16,2022-01-19 19:29:56,bank,ddjerqq,50
17,2022-01-19 19:30:38,bank,ddjerqq,50
18,2022-01-19 19:32:04,bank,ddjerqq,50
19,2022-01-19 19:33:17,bank,ddjerqq,50
20,2022-01-19 19:33:26,ddjerqq,kato,50
21,2022-01-19 19:33:30,bank,kato,50
22,2022-01-19 19:39:07,ddjerqq,Luna✨,20
23,2022-01-19 19:40:05,ddjerqq,Luna✨,10
24,2022-01-19 19:42:54,ddjerqq,Luna✨,29
25,2022-01-19 19:43:21,ddjerqq,Luna✨,20
26,2022-01-19 22:27:08,bank,ddjerqq,50
27,2022-01-19 22:27:39,bank,ddjerqq,50
28,2022-01-19 22:27:50,ddjerqq,Kiryu Kazuma 桐生 一馬,20
29,2022-01-19 22:34:13,bank,ddjerqq,50
30,2022-01-19 22:35:33,bank,ddjerqq,50
31,2022-01-19 22:36:20,bank,ddjerqq,50
32,2022-01-19 22:37:15,bank,ddjerqq,50
33,2022-01-19 22:37:30,ddjerqq,Luna✨,1
34,2022-01-19 22:38:23,bank,ddjerqq,50
35,2022-01-19 22:38:42,ddjerqq,Kiryu Kazuma 桐生 一馬,20
36,2022-01-19 22:40:14,ddjerqq,Kiryu Kazuma 桐生 一馬,69
37,2022-01-19 22:43:31,bank,ddjerqq,50
38,2022-01-19 22:43:59,bank,Eniuu ☾⁵☽,50
39,2022-01-19 22:44:27,ddjerqq,Eniuu ☾⁵☽,420
40,2022-01-19 22:47:22,bank,ddjerqq,50
41,2022-01-19 22:48:20,bank,ddjerqq,50
42,2022-01-19 22:48:58,bank,ddjerqq,50
43,2022-01-20 02:28:59,bank,Kiryu Kazuma 桐生 一馬,1500
44,2022-01-20 02:28:59,bank,Daisaku Kuze 久瀬 大作,1500
45,2022-01-20 02:28:59,bank,ddjerqq,1500
46,2022-01-20 03:11:37,bank,Eniuu ☾⁵☽,50
47,2022-01-20 03:13:30,bank,ddjerqq,50
48,2022-01-20 03:14:18,bank,Eniuu ☾⁵☽,50
49,2022-01-20 03:17:27,bank,ddjerqq,50
50,2022-01-20 03:17:45,bank,Eniuu ☾⁵☽,50
51,2022-01-20 17:04:46,bank,ddjerqq,50
52,2022-01-20 17:05:28,ddjerqq,Paradise,200
53,2022-01-20 17:10:16,ddjerqq,Paradise,20
54,2022-01-20 17:12:56,bank,ddjerqq,50
55,2022-01-20 17:13:45,ddjerqq,Luna✨,300
56,2022-01-20 17:16:26,ddjerqq,Eniuu ☾⁵☽,50
57,2022-01-20 19:31:01,bank,ddjerqq,50
58,2022-01-20 19:32:28,bank,ddjerqq,50
59,2022-01-20 19:33:21,ddjerqq,loren,20
60,2022-01-20 19:33:35,ddjerqq,loren,10
61,2022-01-20 19:34:17,loren,ddjerqq,10
62,2022-01-20 19:34:24,ddjerqq,loren,100
63,2022-01-20 19:37:01,bank,ddjerqq,50
64,2022-01-20 19:37:12,bank,loren,50
65,2022-01-20 19:37:49,bank,ddjerqq,50
66,2022-01-20 19:38:18,bank,loren,50
67,2022-01-20 19:39:08,bank,loren,50
68,2022-01-20 19:39:25,ddjerqq,loren,51
69,2022-01-20 19:40:18,ddjerqq,loren,59
70,2022-01-20 22:16:47,bank,ddjerqq,1550
71,2022-01-20 22:29:21,bank,ddjerqq,50
72,2022-01-20 22:30:33,ddjerqq,Daisaku Kuze 久瀬 大作,51
73,2022-01-20 22:31:16,bank,ddjerqq,50
74,2022-01-20 22:38:10,bank,ddjerqq,50
75,2022-01-20 22:56:24,bank,ddjerqq,50
76,2022-01-20 22:58:53,ddjerqq,Eniuu ☾⁵☽,75
77,2022-01-21 01:14:27,bank,ddjerqq,50
78,2022-01-21 01:15:00,ddjerqq,Luna✨,100
79,2022-01-21 01:16:13,bank,ddjerqq,50
80,2022-01-21 02:16:19,bank,ddjerqq,50
81,2022-01-21 19:08:10,bank,ddjerqq,50
82,2022-01-21 19:08:34,ddjerqq,Forwaste,200
83,2022-01-22 02:10:08,ddjerqq,Psychopath,200
84,2022-01-22 02:10:40,ddjerqq,Georgee Brotherhood,200
85,2022-01-22 14:31:19,ddjerqq,rithmic,200
86,2022-01-22 15:18:50,bank,ddjerqq,50
87,2022-01-22 15:19:54,bank,ddjerqq,50
88,2022-01-22 15:20:47,ddjerqq,Forwaste,53
89,2022-01-22 15:36:39,bank,ddjerqq,50
90,2022-01-22 15:37:15,ddjerqq,Eniuu ☾⁵☽,200
91,2022-01-22 16:24:53,ddjerqq,Forwaste,200
92,2022-01-22 17:05:46,bank,Forwaste,50
93,2022-01-22 17:06:24,ddjerqq,Forwaste,497
94,2022-01-22 21:19:02,ddjerqq,rithmic,200
95,2022-01-22 21:19:10,bank,ddjerqq,50
96,2022-01-22 21:19:44,ddjerqq,rithmic,1200
97,2022-01-22 21:20:40,bank,rithmic,50
98,2022-01-22 21:20:47,bank,ddjerqq,50
99,2022-01-22 21:24:23,bank,ddjerqq,50
100,2022-01-23 20:47:38,ddjerqq,bank,60
101,2022-01-23 20:48:46,bank,ddjerqq,60
102,2022-01-23 20:50:06,ddjerqq,bank,20
103,2022-01-23 20:50:55,bank,ddjerqq,30
104,2022-01-23 20:51:50,bank,ddjerqq,50
105,2022-01-23 20:51:56,bank,Forwaste,1500
106,2022-01-23 20:52:25,Forwaste,bank,100
107,2022-01-23 21:01:43,ddjerqq,bank,20
108,2022-01-23 21:13:25,bank,ddjerqq,50
109,2022-01-23 21:17:16,ddjerqq,bank,15
110,2022-01-23 21:19:53,bank,ddjerqq,1750
111,2022-01-23 21:23:14,bank,ddjerqq,300
112,2022-01-23 22:01:15,ddjerqq,Luna✨,50
113,2022-01-23 22:10:01,ddjerqq,Luna✨,50
114,2022-01-23 22:27:11,ddjerqq,char,50
115,2022-01-23 22:27:43,ddjerqq,char,50
116,2022-01-23 22:41:49,bank,ddjerqq,60
117,2022-01-24 02:39:15,ddjerqq,Psychopath,200
118,2022-01-24 02:39:29,ddjerqq,bank,200
119,2022-01-24 02:39:37,ddjerqq,bank,200
120,2022-01-24 02:44:55,ddjerqq,bank,20
121,2022-01-24 02:45:24,ddjerqq,bank,30
122,2022-01-24 02:45:33,bank,ddjerqq,90
123,2022-01-24 03:12:47,bank,ddjerqq,32
124,2022-01-24 03:14:32,bank,ddjerqq,30
125,2022-01-24 03:20:03,bank,Luna✨,34
126,2022-01-24 03:23:46,bank,ddjerqq,22
127,2022-01-24 03:25:01,ddjerqq,bank,40
128,2022-01-24 03:48:57,ddjerqq,bank,200
129,2022-01-24 03:49:06,ddjerqq,bank,150
130,2022-01-24 03:49:14,ddjerqq,bank,150
131,2022-01-24 03:49:45,bank,ddjerqq,450
132,2022-01-24 03:49:59,ddjerqq,rithmic,450
133,2022-01-24 03:55:45,ddjerqq,char,350
134,2022-01-24 03:58:45,ddjerqq,Luna✨,50
135,2022-01-24 04:01:08,ddjerqq,bank,94
136,2022-01-24 04:01:15,bank,ddjerqq,27
137,2022-01-24 04:01:23,bank,ddjerqq,50
138,2022-01-24 04:02:52,bank,ddjerqq,50
139,2022-01-24 19:44:06,ddjerqq,bank,50
140,2022-01-24 19:44:13,ddjerqq,bank,150
141,2022-01-24 19:44:19,ddjerqq,bank,100
142,2022-01-24 19:44:25,ddjerqq,bank,100
143,2022-01-24 19:44:56,ddjerqq,Kiryu Kazuma 桐生 一馬,50
144,2022-01-24 19:45:05,ddjerqq,Kiryu Kazuma 桐生 一馬,150
145,2022-01-24 19:46:21,Kiryu Kazuma 桐生 一馬,ddjerqq,1800
146,2022-01-24 19:46:56,bank,ddjerqq,34
147,2022-01-24 19:47:04,ddjerqq,bank,100
148,2022-01-24 19:58:36,ddjerqq,Forwaste,100
149,2022-01-24 19:59:06,ddjerqq,Forwaste,100
150,2022-01-24 19:59:35,Forwaste,ddjerqq,500
151,2022-01-24 20:23:58,ddjerqq,char,150
152,2022-01-24 20:25:14,ddjerqq,char,150
153,2022-01-24 20:26:08,char,ddjerqq,150
154,2022-01-24 20:26:52,char,ddjerqq,150
155,2022-01-24 20:29:33,ddjerqq,char,150
156,2022-01-24 20:29:53,char,ddjerqq,150
157,2022-01-25 16:03:09,ddjerqq,AlkhilJohn,150
158,2022-01-25 16:05:31,ddjerqq,bank,150
